Quantity,References,Value,Footprint,Manufacturer,MPN,LCSC Part #,JLCPCB Class,Population
3,"J1,J2,J3",USB_C_Receptacle_USB2.0_14P,cl_Connector_USB:USB_C_Receptacle_GCT_USB4110,Global Connector Technology,USB4110-GF-A,C5143397,Extended,Fitted
2,"R1,R2",5.1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,UNI-ROYAL,0805W8F5101T5E,C27834,Basic,Fitted
